"competition","mf","level","match_id","date","home_team","visiting_team","match_n_sets","home_team_set_score","visiting_team_set_score","set_number","home_team_score","visiting_team_score","margin"
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764484",2019-10-05,"Austin Peay","UT Martin",4,3,1,2,17,25,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764484",2019-10-05,"Austin Peay","UT Martin",4,3,1,3,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764484",2019-10-05,"Austin Peay","UT Martin",4,3,1,4,25,21,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764496",2019-10-05,"USC Upstate","Winthrop",4,1,3,1,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764496",2019-10-05,"USC Upstate","Winthrop",4,1,3,2,19,25,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764496",2019-10-05,"USC Upstate","Winthrop",4,1,3,3,13,25,12
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764496",2019-10-05,"USC Upstate","Winthrop",4,1,3,4,12,25,13
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764501",2019-10-05,"High Point","Campbell",3,3,0,1,25,8,17
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764501",2019-10-05,"High Point","Campbell",3,3,0,2,25,18,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764501",2019-10-05,"High Point","Campbell",3,3,0,3,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764490",2019-10-05,"Boise State","San Jose State",4,3,1,1,25,18,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764490",2019-10-05,"Boise State","San Jose State",4,3,1,2,25,17,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764490",2019-10-05,"Boise State","San Jose State",4,3,1,3,24,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764490",2019-10-05,"Boise State","San Jose State",4,3,1,4,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764475",2019-10-05,"Tennessee State","SIUE",5,2,3,1,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764475",2019-10-05,"Tennessee State","SIUE",5,2,3,2,18,25,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764475",2019-10-05,"Tennessee State","SIUE",5,2,3,3,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764475",2019-10-05,"Tennessee State","SIUE",5,2,3,4,22,25,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764475",2019-10-05,"Tennessee State","SIUE",5,2,3,5,12,15,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764467",2019-10-05,"Mercer","ETSU",3,0,3,1,25,27,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764467",2019-10-05,"Mercer","ETSU",3,0,3,2,23,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764467",2019-10-05,"Mercer","ETSU",3,0,3,3,24,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764506",2019-10-05,"Tennessee Tech","Morehead State",4,1,3,1,17,25,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764506",2019-10-05,"Tennessee Tech","Morehead State",4,1,3,2,25,21,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764506",2019-10-05,"Tennessee Tech","Morehead State",4,1,3,3,14,25,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764506",2019-10-05,"Tennessee Tech","Morehead State",4,1,3,4,23,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764498",2019-10-05,"Belmont","Eastern Illinois",3,3,0,1,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764498",2019-10-05,"Belmont","Eastern Illinois",3,3,0,2,25,11,14
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764498",2019-10-05,"Belmont","Eastern Illinois",3,3,0,3,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764546",2019-10-05,"Georgetown","Xavier",5,2,3,1,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764546",2019-10-05,"Georgetown","Xavier",5,2,3,2,24,26,2
